year,figure,breakdown,disaggregation,indicator,measure
2014,65.6,2,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,66,2,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,65.5,2,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,63.8,2,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,63.1,2,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,65.5,2,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,70,3,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,71.9,3,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,69.8,3,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,68.2,3,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,66,3,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,68.1,3,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,65.9,3,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,72.6,4,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,72.3,4,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,72,4,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,71.4,4,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,67.3,4,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,69.4,4,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,67.1,4,Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,61.8,1 (20% most deprived),Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,62.1,1 (20% most deprived),Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,59.9,1 (20% most deprived),Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,55.1,1 (20% most deprived),Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,58.5,1 (20% most deprived),Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,57.8,1 (20% most deprived),Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,62.1,1 (20% most deprived),Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,68.7,5 (20% least deprived),Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,71,5 (20% least deprived),Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,67.9,5 (20% least deprived),Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,67,5 (20% least deprived),Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,67.5,5 (20% least deprived),Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,67.8,5 (20% least deprived),Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,67.1,5 (20% least deprived),Scottish Index of Multiple Deprivation,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,67.6,Total,Total,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,68.6,Total,Total,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,67.2,Total,Total,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,65.4,Total,Total,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,64.7,Total,Total,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,65.3,Total,Total,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,65.6,Total,Total,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,78.5,Accessible rural,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,79.1,Accessible rural,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,80.7,Accessible rural,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,75.2,Accessible rural,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,73.9,Accessible rural,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,75.2,Accessible rural,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,74.9,Accessible rural,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,74.7,Accessible small towns,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,78.9,Accessible small towns,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,73.6,Accessible small towns,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,70.9,Accessible small towns,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,71.8,Accessible small towns,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,71.4,Accessible small towns,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,71,Accessible small towns,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,62.2,Large urban areas,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,63.1,Large urban areas,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,58.9,Large urban areas,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,59.8,Large urban areas,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,59.3,Large urban areas,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,58.6,Large urban areas,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,57.9,Large urban areas,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,66.8,Other urban areas,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,65.7,Other urban areas,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,67,Other urban areas,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,64.1,Other urban areas,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,63.1,Other urban areas,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,64.4,Other urban areas,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,67.7,Other urban areas,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,69.4,Remote rural,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,79.7,Remote rural,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,80.1,Remote rural,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,73.8,Remote rural,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,75.6,Remote rural,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,81.8,Remote rural,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,70.6,Remote rural,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2013,76.1,Remote small towns,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2014,70.9,Remote small towns,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2015,71.4,Remote small towns,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2016,74.1,Remote small towns,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2017,72.4,Remote small towns,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,67.1,Remote small towns,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2019,67.2,Remote small towns,Urban Rural classification,Access to green and blue space,Proportion of adults living within 5 minutes' walk of their nearest green or blue space
2018,23.6,16 to 24,Age,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,23.8,25 to 34,Age,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,19.4,35 to 44,Age,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,20.7,46 to 54,Age,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,18.8,55 to 64,Age,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,18.9,65 to 74,Age,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,25.3,75+,Age,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,23.4,Other minority ethnic,Ethnicity,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,21.2,White,Ethnicity,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,23.7,Female,Gender,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,18.8,Male,Gender,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,15.8,No,Limiting long term physical or mental health condition,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,34.3,Yes,Limiting long term physical or mental health condition,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,24.3,Aberdeen City,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,20.8,Aberdeenshire,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,16.2,Angus,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,13,Argyll & Bute,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,33.3,Clackmannanshire,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,21.1,Dumfries & Galloway,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,36.6,Dundee City,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,18.6,East Ayrshire,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,9.9,East Dunbartonshire,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,20.2,East Lothian,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,13.9,East Renfrewshire,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,18,"Edinburgh, City of",Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,44.9,Falkirk,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,28.5,Fife,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,21.6,Glasgow City,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,21,Highland,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,14.3,Inverclyde,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,16.8,Midlothian,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,20.5,Moray,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,17.2,Na-h Eileanan Siar,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,16,North Ayrshire,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,15.4,North Lanarkshire,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,18.7,Orkney Islands,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,16.3,Perth & Kinross,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,18.6,Renfrewshire,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,14.8,Scottish Borders,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,11.1,Shetland Islands,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,20,South Ayrshire,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,18,South Lanarkshire,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,15.8,Stirling,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,18.6,West Dunbartonshire,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,42.1,West Lothian,Local Authority,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,28.1,1 (20% most deprived),Scottish Index of Multiple Deprivation,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,24,2,Scottish Index of Multiple Deprivation,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,22.2,3,Scottish Index of Multiple Deprivation,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,17.6,4,Scottish Index of Multiple Deprivation,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,15.4,5 (20% least deprived),Scottish Index of Multiple Deprivation,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,21.3,Total,Total,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,16.6,Rural,Urban Rural classification,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
2018,22.3,Urban,Urban Rural classification,Loneliness,"Percentage of respondents who felt lonely some, most or all of the time during the last week."
1999,31,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2000,35,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,33,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,34,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,38,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,34,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,36,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,37,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,38,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,39,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,42,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,43,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,41,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,46,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,45,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,42,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,46,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,48,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,46,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,47,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,49,16 to 24,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
1999,43,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2000,45,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,43,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,42,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,45,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,42,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,41,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,43,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,42,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,43,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,46,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,47,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,45,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,45,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,46,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,45,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,45,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,46,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,49,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,51,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,49,25 to 34,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
1999,51,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2000,51,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,49,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,48,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,54,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,50,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,50,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,50,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,52,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,53,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,54,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,54,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,55,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,53,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,54,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,55,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,53,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,54,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,54,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,55,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,55,35 to 44,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
1999,52,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2000,56,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,55,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,55,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,54,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,55,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,54,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,53,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,51,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,57,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,56,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,56,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,58,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,58,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,55,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,58,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,60,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,58,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,59,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,58,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,57,45 to 54,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
1999,55,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2000,58,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,56,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,56,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,58,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,57,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,56,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,58,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,61,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,59,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,61,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,61,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,64,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,62,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,62,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,63,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,62,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2016,61,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2017,59,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2018,60,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2019,60,55 to 64,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
1999,59,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2000,60,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2001,59,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2002,57,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2003,63,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2004,58,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2005,59,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2006,59,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2007,64,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2008,60,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2009,64,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2010,64,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2011,64,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2012,63,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2013,61,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2014,66,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
2015,65,65 to 74,Age,Perceptions of local area,The percentage of adults who rate their neighbourhood as a very good place to live
